company,date,desc,education,job_name,money
engma,2020-06-17,"岗位职责：
1、对服务器测试和自动化测试有热诚；

2、主要负责软件产品的性能模块测试；
3、协助公司软件产品的测试工作；
4、熟悉服务器性能测试和API接口测试;
5、按时完成上级及部门其他领导交办的其他临时工作任务。

 

福利待遇：

1、丰富多彩的集体活动（员工旅游，节日聚会，生日趴，年会等等。）

2、入职购买五险一金、周末双休、员工旅游、员工体检、带薪年假。",大专,财务实习生,￥100/天
engma,2020-06-17,湖北纳杰人力资源有限公司面向广大应届毕业生、实习生诚聘招聘专员  关于我们：我们是一个年轻的，充满活力的family，百分之九十的小伙伴都是95后，我们来自五湖四海，甘于奉献，勇于拼搏，只为了在公司的大舞台上发光发亮，产生价值  招聘要求：19到25岁，大专及以上学历，本科优先，接受实习生，专业不限  工作内容：通过我们自己的简历库系统筛选求职者简历，电话邀约到我们合作的企业上班，同时，我们还设立了现场组，可以到各大厂区、高校进行现场招聘，工作内容简单，只要你愿意学，我们就手把手的交  工作环境：我们目前搬到了流芳园南路这边新的办公地方，高端大气上档次！！！配套设施一应俱全，工作区域有两栋楼，第一栋一二楼为餐厅，三四楼分别是我们合作的小米和美团外包项目，五楼为行政人员办公区域，第二栋楼就是我们的办公区域啦，每个人都有一个自己独立的工位，电脑，耳机，绿植，当然，你可以发挥你的想象力，自己装扮！  关于晋升：公司派遣部有一百多个项目，每个项目都设有主管和经理，只要你有上进心，三个月升主管，半年升经理，都是寻常之事，每周二周四晚，公司会组织大家进行免费培训，由优秀项目经理或公司领导给大家进行培训，传授管理知识，分享经典案例  然后就是大家最最关心的薪资了：我们的薪资结构为无责任底薪6000绩效提成项目利润分红，综合薪资在7000到10000，上不封顶，每个月都有优秀的小伙伴月薪过万，员工平均工资达到同行的三倍以上，是我们的终极目标！！！  好了，说了这么多，如果你还是无动于衷，那咱们可能真的有缘无份了，哈哈，如果你是一个甘于奉献，勇于进取的boy or girl，那么，欢迎加入我们纳杰大家庭！！！,大专,财务实习生,￥100/天
engma,2020-06-17,公司简介,大专,财务实习生,￥100/天
engma,2020-06-17,"五险一金
年底双薪
交通补助
餐补
带薪年假
员工旅游
节日福利",大专,财务实习生,￥100/天
engma,2020-06-17,"岗位职责：
1、负责HTML5应用程序代码设计；
2、分析和解决项目开发中出现的问题；
3、从事设计文件的编写。



福利待遇：

1、丰富多彩的集体活动（员工旅游，节日聚会，生日趴，年会等等。）

2、入职购买五险一金、周末双休、员工旅游、员工体检、带薪年假。",大专,财务实习生,￥100/天
engma,2020-06-17,"五险一金
年底双薪
绩效奖金
餐补
带薪年假
员工旅游
节日福利",大专,财务实习生,￥100/天
engma,2020-06-17,"公司简介

				英格玛人力资源集团成立于2002年，是中国领先的人力资源外包服务机构;集团致力于成为中国人力资本经营服务专家，让人力资本实现最大价值，从而推动社会发展，并让我们的世界变得更加美好。 集团主营业务包括:人事外包、制造承包、金融服务外包、招聘流程外包、中高级人才搜寻、大学生职业能力提升、人力资源战略咨询等多个专业人力资源外包服务领域。集团旗下现拥有18家分支机构，管理团队250多人，外派雇员27000多人，年培训及供应人才能力超过5万人，集团成立以来，累计培训及安置就业的员工超过80万人。",大专,财务实习生,￥100/天
华盈生物,2020-06-17,"公司简介

				北京博科技术股份有限公司是中国领先的管理软件开发与实施人员的服务商，是大型咨询公司的资源池（resource pool）供应商，创新地将人才职业培养、初期的职业生涯与高端咨询公司的人才需求结合起来。公司针对应届生从专业知识教授到职业技能传授，结合德勤、凯捷、国电南瑞、石化盈科四个大型ERP实施厂商提供的项目实训及工作机会，提供公司的资源平台，利用3-4年时间将应届生从一无所长培养成职业方向明确、职业技能过硬、拥有多个大型项目经验背景的IT精英，并帮助他们平稳过度到国内外大型企业中去，公司不仅仅是提供一份实习机会、一个工作岗位，而是职业生涯的定位、实训、专业知识学习、专业技能成长的一个过程，以及职业人生的重组与飞跃。重要的是无论在前期还是在职中的培训都不需要员工自己缴纳费用，是创新型人才培养服务公司。博科的前身为博克教育，是一家专门的IT教育公司，开创了SAP工程硕士的先河，将企业需要的信息化人才引入到知名高校的研究生培养体系当中，培养出以实践应用为导向以直接就业为目的信息化专业人才，是连接高校-名企-个人的桥梁，为500强企业ERP人才培养的摇篮，至2012年共计培养IT各类人才超万人。1、公司主体博科公司有多个关联主体，俗称集团企业，其中北京博科技术股份有限公司简称博科技术，跟上海博科软件系统公司没有任何关系，北京博科技术股份有限公司跟北京博克西岸科技发展有限公司一样都是北京博科管理技术有限公司（博科总公司）的关联公司，各自负责的业务领域跟范围不同。2、公司性质博科是股份有限公司，其主要股东是联想、首创、卢俊及其他一些有限合伙公司，是一个中外合资企业，董事会负责制。3、博科技术博科技术成立于2012年，目前有员工500多人，分布在全国40多个城市，年度缴纳税收超过500万，营业收入近1亿元。企业征信北京工商可查，真实有效。公司总部：北京市海淀区，在南京、广州有办事处4、博科技术需要的人才我们寻求把IT作为终生职业的人！您是我们要的人吗？——稳定的工作岗位、持久的学习机会和成长、4年平移到大型企业——不要程序猿不要青春饭短视，假如追求成为一个稳定的IT人、靠本事靠能力吃饭，深悉技术并以此为乐的技术顾问；——你只要达到正规大学本科学历，甚至大专学历，但你有良好的学习习惯，热爱学习，勤劳踏实，乐于思考；",本科,技术服务推广专员,￥80/天
engma,2020-06-17,"岗位职责：

1、根据需要不断修改完善软件；

2、编制项目文档、记录质量测试结果；

3、完成程序测试；

4、完成领导安排的其他任务。

福利待遇：

1、丰富多彩的集体活动（员工旅游，节日聚会，生日趴，年会等等。）

2、入职购买五险一金、周末双休、员工旅游、员工体检、带薪年假。",大专,财务实习生,￥100/天
北京博科,2020-06-17,"公司简介

				广州睿禾智企业管理服务有限公司是一家经国家工商行政管理局登记注册的一家专业金融投资理财咨询服务公司，公司总部位于中国广东广州天河金融商圈。公司主营产品与服务涉及资产管理、股票、外汇、基金、大宗商品和文化艺术品咨询服务等多个领域；公司拥有投资、金融领域的专业人才和业内经验丰富的交易研究分析团队，主要是为社会各类人士提供专业投融资服务，公司下设行政部、财务部、业务部和技术部四个部门。公司始终坚持“合作、分享、共赢”的企业理念和“客户至上，诚信经营，规范管理，协调发展” 的经营宗旨，通过建立规范的投资操作流程和完善的风险控制体系，对客户负责，形成良好的经营风格，赢得客户和社会的信誉。同时，公司还坚持“专业化，职业化，精英化、精细化”的人才管理理念，吸纳了一支具有金融、管理、法律、财务等经济领域丰富管理经验的精英人才团队，内部机制健全，机构设置合理，管理体制灵活，发展思路明确，具有广阔的发展前景。全体员工本着“服务客户，互惠双赢，共同发展”的职业信念，全力发展投资业务，提供优质的投资服务。我司坚持“立存久远，做大做强”的企业愿景，坚守“诚信、务实、负责”的企业精神，牢记对社会负责、对股东负责、对客户负责、对员工负责、对企业自身负责的企业使命和社会责任，以投资领域的需求为基础，以公司的服务水平和自身实力为保障，让公司快速健康发展。",本科,财务管理,￥120/天
